[DEBUG] 2021-03-02 21:49:15.378 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-03-02 21:49:15.380 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-03-02 21:49:15.385 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-03-02 21:49:15.476 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-03-02 21:49:15.477 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-03-02 21:49:15.727 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-03-02 21:49:15.728 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-03-02 21:49:15.734 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-03-02 21:49:16.072 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-03-02 21:49:16.101 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-03-02 21:49:16.105 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-03-02 21:49:16.132 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-03-02 21:49:16.172 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6b350309
[DEBUG] 2021-03-02 21:49:16.172 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6b350309
[DEBUG] 2021-03-02 21:49:16.172 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6b350309
[DEBUG] 2021-03-02 21:49:16.173 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@1981d861
[DEBUG] 2021-03-02 21:49:16.174 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6342d610
[DEBUG] 2021-03-02 21:49:16.175 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@434514d8
[DEBUG] 2021-03-02 21:49:16.177 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7efb53af
[DEBUG] 2021-03-02 21:49:16.177 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7efb53af
[DEBUG] 2021-03-02 21:49:16.177 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7efb53af
[DEBUG] 2021-03-02 21:49:16.178 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@443effcb
[DEBUG] 2021-03-02 21:49:16.179 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@443effcb
[DEBUG] 2021-03-02 21:49:16.179 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@443effcb
[DEBUG] 2021-03-02 21:49:16.180 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@41eb94bc
[DEBUG] 2021-03-02 21:49:16.180 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@41eb94bc
[DEBUG] 2021-03-02 21:49:16.180 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@41eb94bc
[DEBUG] 2021-03-02 21:49:16.189 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@4c1bdcc2
[DEBUG] 2021-03-02 21:49:16.189 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@4c1bdcc2
[DEBUG] 2021-03-02 21:49:16.190 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@4c1bdcc2
[DEBUG] 2021-03-02 21:49:16.191 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@252a8aae
[DEBUG] 2021-03-02 21:49:16.192 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@252a8aae
[DEBUG] 2021-03-02 21:49:16.192 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@252a8aae
[DEBUG] 2021-03-02 21:49:16.193 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@20ab3e3a
[DEBUG] 2021-03-02 21:49:16.193 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@20ab3e3a
[DEBUG] 2021-03-02 21:49:16.193 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@20ab3e3a
[DEBUG] 2021-03-02 21:49:16.195 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@1716e8c5
[DEBUG] 2021-03-02 21:49:16.195 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@1716e8c5
[DEBUG] 2021-03-02 21:49:16.195 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@1716e8c5
[DEBUG] 2021-03-02 21:49:16.197 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@518bfd90
[DEBUG] 2021-03-02 21:49:16.197 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@518bfd90
[DEBUG] 2021-03-02 21:49:16.199 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@18b8d173
[DEBUG] 2021-03-02 21:49:16.199 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@18b8d173
[DEBUG] 2021-03-02 21:49:16.201 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@1687eb01
[DEBUG] 2021-03-02 21:49:16.202 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@1687eb01
[DEBUG] 2021-03-02 21:49:16.202 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@242b6e1a
[DEBUG] 2021-03-02 21:49:16.203 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@45acdd11
[DEBUG] 2021-03-02 21:49:16.204 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@333c8791
[DEBUG] 2021-03-02 21:49:16.205 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@333c8791
[DEBUG] 2021-03-02 21:49:16.206 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@67e13bd0
[DEBUG] 2021-03-02 21:49:16.206 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@67e13bd0
[DEBUG] 2021-03-02 21:49:16.208 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@68b9834c
[DEBUG] 2021-03-02 21:49:16.208 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@68b9834c
[DEBUG] 2021-03-02 21:49:16.209 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@c755b2
[DEBUG] 2021-03-02 21:49:16.209 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@c755b2
[DEBUG] 2021-03-02 21:49:16.210 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@2f84acf7
[DEBUG] 2021-03-02 21:49:16.210 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@2f84acf7
[DEBUG] 2021-03-02 21:49:16.217 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@4dba773d
[DEBUG] 2021-03-02 21:49:16.218 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@4dba773d
[DEBUG] 2021-03-02 21:49:16.220 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@142213d5
[DEBUG] 2021-03-02 21:49:16.220 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@142213d5
[DEBUG] 2021-03-02 21:49:16.222 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@2938127d
[DEBUG] 2021-03-02 21:49:16.222 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@2938127d
[DEBUG] 2021-03-02 21:49:16.224 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6f911326
[DEBUG] 2021-03-02 21:49:16.224 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6f911326
[DEBUG] 2021-03-02 21:49:16.226 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@315f09ef
[DEBUG] 2021-03-02 21:49:16.226 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@315f09ef
[DEBUG] 2021-03-02 21:49:16.227 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@534180a2
[DEBUG] 2021-03-02 21:49:16.228 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@534180a2
[DEBUG] 2021-03-02 21:49:16.229 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@1352434e
[DEBUG] 2021-03-02 21:49:16.229 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@1352434e
[DEBUG] 2021-03-02 21:49:16.229 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@1352434e
[DEBUG] 2021-03-02 21:49:16.231 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@74170687
[DEBUG] 2021-03-02 21:49:16.233 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@26586b74
[DEBUG] 2021-03-02 21:49:16.235 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@26586b74
[DEBUG] 2021-03-02 21:49:16.236 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@26586b74
[DEBUG] 2021-03-02 21:49:16.237 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@3aa41da1
[DEBUG] 2021-03-02 21:49:16.239 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@7a583586
[DEBUG] 2021-03-02 21:49:16.240 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@7a583586
[DEBUG] 2021-03-02 21:49:16.243 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@64d4f7c7
[DEBUG] 2021-03-02 21:49:16.243 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@64d4f7c7
[DEBUG] 2021-03-02 21:49:16.244 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@3d0035d2
[DEBUG] 2021-03-02 21:49:16.244 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@3d0035d2
[DEBUG] 2021-03-02 21:49:16.245 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@7afc4db9
[DEBUG] 2021-03-02 21:49:16.245 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@7afc4db9
[DEBUG] 2021-03-02 21:49:16.246 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@29149030
[DEBUG] 2021-03-02 21:49:16.246 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@29149030
[DEBUG] 2021-03-02 21:49:16.246 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@1a22e0ef
[DEBUG] 2021-03-02 21:49:16.247 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@7c8c70d6
[DEBUG] 2021-03-02 21:49:16.248 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@7c8c70d6
